time;temp;humidity;CO2;TCOV
01/03/2023 02:40;32;41;983;26.42
01/03/2023 02:40;32;41;983;25.71
01/03/2023 02:41;32;41;983;20.18
01/03/2023 02:41;31;41;980;28.01
01/03/2023 02:42;32;41;983;28.4
01/03/2023 02:42;31;41;980;27.94
01/03/2023 02:43;31;41;980;26.6
01/03/2023 02:43;31;41;983;31.39
01/03/2023 02:44;31;41;983;30.02
01/03/2023 02:44;31;41;980;48.43
01/03/2023 02:45;32;41;983;35.42
01/03/2023 02:45;31;42;983;31.75
01/03/2023 02:46;31;41;983;34.29
01/03/2023 02:46;31;41;983;28.4
01/03/2023 02:47;31;41;980;34.96
01/03/2023 02:47;31;42;983;43.85
01/03/2023 02:48;32;42;980;52.03
01/03/2023 02:48;32;42;985;29.35
01/03/2023 02:49;32;42;985;28.68
01/03/2023 02:49;32;42;983;22.82
01/03/2023 02:50;32;42;985;39.93
01/03/2023 02:50;32;42;983;33.93
01/03/2023 02:51;32;42;985;28.75
01/03/2023 02:51;32;41;983;45.01
01/03/2023 02:52;32;42;985;28.61
01/03/2023 02:52;32;42;983;30.62
01/03/2023 02:53;32;41;983;31.78
01/03/2023 02:53;32;42;985;49.88
01/03/2023 02:54;32;41;983;34.96
01/03/2023 02:54;32;41;985;32.21
01/03/2023 02:55;32;42;983;30.3
01/03/2023 02:55;31;42;985;16.01
01/03/2023 02:56;31;42;985;33.16
01/03/2023 02:56;32;42;985;18.23
01/03/2023 02:57;31;42;985;23.49
01/03/2023 02:57;31;42;985;23.32
01/03/2023 02:58;31;42;985;39.93
01/03/2023 02:58;31;42;983;38.1
01/03/2023 02:59;31;42;980;44.06
01/03/2023 02:59;31;42;983;27.23
01/03/2023 03:00;31;42;985;35.59
01/03/2023 03:00;31;42;983;25.01
01/03/2023 03:01;31;42;983;29.17
01/03/2023 03:01;32;42;983;31.18
01/03/2023 03:02;31;42;983;24.16
01/03/2023 03:02;32;42;983;30.72
01/03/2023 03:03;31;42;983;37.11
01/03/2023 03:03;31;42;985;31.75
01/03/2023 03:04;32;42;983;32.21
01/03/2023 03:04;31;42;985;40.43
01/03/2023 03:05;32;42;985;33.02
01/03/2023 03:05;31;42;983;32.63
01/03/2023 03:06;32;42;983;27.37
01/03/2023 03:06;32;42;983;26.49
01/03/2023 03:07;32;42;985;23.07
01/03/2023 03:07;32;42;985;22.08
01/03/2023 03:08;32;42;985;21.73
01/03/2023 03:08;32;42;985;21.8
01/03/2023 03:09;31;42;985;43.88
01/03/2023 03:09;31;41;985;43.99
01/03/2023 03:10;31;41;983;35.45
01/03/2023 03:10;31;42;985;47.38
01/03/2023 03:11;31;42;985;40.39
01/03/2023 03:11;31;42;985;31.04
01/03/2023 03:12;31;41;983;29.84
01/03/2023 03:12;31;42;983;24.8
01/03/2023 03:13;31;41;985;33.16
01/03/2023 03:13;31;41;985;31.92
01/03/2023 03:14;31;42;985;23.42
01/03/2023 03:14;31;41;985;26.6
01/03/2023 03:15;31;41;985;30.79
01/03/2023 03:15;31;42;985;42.01
01/03/2023 03:16;31;41;985;39.26
01/03/2023 03:16;31;42;985;34.39
01/03/2023 03:17;31;42;988;24.59
01/03/2023 03:17;31;42;988;37.57
01/03/2023 03:18;31;42;988;38.27
01/03/2023 03:18;31;42;985;32.05
01/03/2023 03:19;31;42;985;31.29
01/03/2023 03:19;31;42;980;39.65
01/03/2023 03:20;31;42;988;48.33
01/03/2023 03:20;32;42;988;37.43
01/03/2023 03:21;32;42;985;30.23
01/03/2023 03:21;31;42;983;38.1
01/03/2023 03:22;31;42;985;36.44
01/03/2023 03:22;31;42;988;21.76
01/03/2023 03:23;31;42;988;29.45
01/03/2023 03:23;31;42;985;33.83
01/03/2023 03:24;31;42;985;42.4
01/03/2023 03:24;31;42;988;34.89
01/03/2023 03:25;31;42;985;34.71
01/03/2023 03:25;31;42;988;27.51
01/03/2023 03:26;31;42;985;33.26
01/03/2023 03:26;31;42;988;37.14
01/03/2023 03:27;31;42;988;32.42
01/03/2023 03:27;31;42;988;26.46
01/03/2023 03:28;31;42;988;27.51
01/03/2023 03:28;31;42;985;25.22
01/03/2023 03:29;31;42;988;19.96
01/03/2023 03:29;31;42;985;28.18
01/03/2023 03:30;31;42;985;35.42
01/03/2023 03:30;31;42;988;39.97
01/03/2023 03:31;31;42;988;29.45
01/03/2023 03:31;31;42;988;29.59
01/03/2023 03:32;31;42;985;19.08
01/03/2023 03:32;31;42;985;27.34
01/03/2023 03:33;31;42;983;30.97
01/03/2023 03:33;31;42;985;29.1
01/03/2023 03:34;31;42;985;40.04
01/03/2023 03:34;31;42;988;50.2
01/03/2023 03:35;31;42;983;36.51
01/03/2023 03:35;31;42;985;48.29
01/03/2023 03:36;31;42;983;45.47
01/03/2023 03:36;31;42;985;45.37
01/03/2023 03:37;31;42;985;37.11
01/03/2023 03:37;31;42;988;36.79
01/03/2023 03:38;31;42;985;44.41
01/03/2023 03:38;31;42;985;58.14
01/03/2023 03:39;31;42;985;39.23
01/03/2023 03:39;31;42;988;42.68
01/03/2023 03:40;31;42;995;31.64
01/03/2023 03:40;31;42;988;38.59
01/03/2023 03:41;31;42;985;49.35
01/03/2023 03:41;31;42;988;22.79
01/03/2023 03:42;31;42;988;35.1
01/03/2023 03:42;31;42;988;49.53
01/03/2023 03:43;31;42;985;33.97
01/03/2023 03:43;31;42;985;41.06
01/03/2023 03:44;31;42;985;39.37
01/03/2023 03:44;31;42;985;37.04
01/03/2023 03:45;31;42;988;38.45
01/03/2023 03:45;31;42;985;24.16
01/03/2023 03:46;31;42;988;31.92
01/03/2023 03:46;31;42;985;34.36
01/03/2023 03:47;31;42;985;22.07
01/03/2023 03:47;31;42;988;40.14
01/03/2023 03:48;31;42;985;38.24
01/03/2023 03:48;31;42;990;34.68
01/03/2023 03:49;31;42;988;34.04
01/03/2023 03:49;31;42;988;27.69
01/03/2023 03:50;31;42;985;35.35
01/03/2023 03:50;31;42;988;34.43
01/03/2023 03:51;31;42;988;38.27
01/03/2023 03:51;31;42;985;48.19
01/03/2023 03:52;31;42;988;51.47
01/03/2023 03:52;31;42;988;40.81
01/03/2023 03:53;31;42;990;43.88
01/03/2023 03:53;31;42;990;28.75
01/03/2023 03:54;31;42;993;33.62
01/03/2023 03:54;31;42;988;48.72
01/03/2023 03:55;31;42;990;44.17
01/03/2023 03:55;31;42;980;35.77
01/03/2023 03:56;31;42;993;27.48
01/03/2023 03:56;31;42;990;21.73
01/03/2023 03:57;31;42;990;37.6
01/03/2023 03:57;31;42;990;43.42
01/03/2023 03:58;31;42;990;50.97
01/03/2023 03:58;31;42;990;53.41
01/03/2023 03:59;31;42;990;52.42
01/03/2023 03:59;31;42;988;37.64
01/03/2023 04:00;31;42;988;28.43
01/03/2023 04:00;31;42;990;40.43
01/03/2023 04:01;31;42;988;42.44
01/03/2023 04:01;31;42;990;36.65
01/03/2023 04:02;31;42;988;45.4
01/03/2023 04:02;31;42;988;43.32
01/03/2023 04:03;31;42;988;33.3
01/03/2023 04:03;31;42;990;40.46
01/03/2023 04:04;31;42;988;49.07
01/03/2023 04:04;31;42;990;34.08
01/03/2023 04:05;31;42;990;30.02
01/03/2023 04:05;31;42;993;51.89
01/03/2023 04:06;31;42;993;32.98
01/03/2023 04:06;32;42;993;21.27
01/03/2023 04:07;32;42;993;36.4
01/03/2023 04:07;32;42;990;43.07
01/03/2023 04:08;32;42;990;34.68
01/03/2023 04:08;32;42;990;36.44
01/03/2023 04:09;31;42;993;39.23
01/03/2023 04:09;31;42;993;27.69
01/03/2023 04:10;31;42;993;41.48
01/03/2023 04:10;31;42;993;41.24
01/03/2023 04:11;31;42;990;34.6
01/03/2023 04:11;31;42;995;32.98
01/03/2023 04:12;32;42;995;41.2
01/03/2023 04:12;32;42;993;32.95
01/03/2023 04:13;32;42;995;30.23
01/03/2023 04:13;32;42;995;41.84
01/03/2023 04:14;32;42;997;50.09
01/03/2023 04:14;32;42;995;41.59
01/03/2023 04:15;31;42;995;49.92
01/03/2023 04:15;31;42;995;25.43
01/03/2023 04:16;32;42;995;43.92
01/03/2023 04:16;32;42;997;23.21
01/03/2023 04:17;32;42;995;30.23
01/03/2023 04:17;32;42;993;31.08
01/03/2023 04:18;32;42;995;46.56
01/03/2023 04:18;32;42;993;35.49
01/03/2023 04:19;32;42;997;46.53
01/03/2023 04:19;32;42;993;50.62
01/03/2023 04:20;32;42;995;44.69
01/03/2023 04:20;32;42;993;40
01/03/2023 04:21;32;42;993;46.04
01/03/2023 04:21;31;42;993;25.04
01/03/2023 04:22;32;42;993;39.44
01/03/2023 04:22;32;42;993;51.57
01/03/2023 04:23;31;42;995;41.73
01/03/2023 04:23;32;42;993;33.69
01/03/2023 04:24;32;42;995;32.45
01/03/2023 04:24;32;42;995;31.25
01/03/2023 04:25;32;42;997;27.55
01/03/2023 04:25;32;42;997;34.85
01/03/2023 04:26;32;42;997;44.8
01/03/2023 04:26;32;42;997;30.55
01/03/2023 04:27;32;42;995;48.72
01/03/2023 04:27;32;42;993;41.17
01/03/2023 04:28;32;42;995;30.51
01/03/2023 04:28;32;42;995;38.8
01/03/2023 04:29;32;42;990;37.39
01/03/2023 04:29;32;42;995;44.77
01/03/2023 04:30;32;42;993;39.37
01/03/2023 04:30;32;42;993;45.58
01/03/2023 04:31;32;42;993;38.13
01/03/2023 04:31;32;42;993;45.89
01/03/2023 04:32;32;42;993;34.85
01/03/2023 04:32;32;42;993;41.63
01/03/2023 04:33;32;42;993;44.62
01/03/2023 04:33;32;42;995;34.71
01/03/2023 04:34;32;42;995;58.63
01/03/2023 04:34;32;42;997;33.02
01/03/2023 04:35;32;42;995;39.86
01/03/2023 04:35;32;42;997;53.44
01/03/2023 04:36;32;42;995;62.44
01/03/2023 04:37;32;42;997;45.26
01/03/2023 04:37;32;42;997;21.66
01/03/2023 04:38;32;42;990;21.27
01/03/2023 04:38;32;42;997;30.16
01/03/2023 04:39;32;42;997;21.8
01/03/2023 04:39;32;42;1000;29.38
01/03/2023 04:40;32;42;1000;31.99
01/03/2023 04:40;32;42;1000;45.86
01/03/2023 04:41;32;42;900;29.03
01/03/2023 04:41;32;42;1000;39.12
01/03/2023 04:42;32;42;990;42.75
01/03/2023 04:42;32;42;997;44.02
01/03/2023 04:43;32;42;997;47.8
01/03/2023 04:43;32;42;995;54.64
01/03/2023 04:44;32;42;995;72.5
01/03/2023 04:44;32;42;997;60.12
01/03/2023 04:45;32;42;997;29.98
01/03/2023 04:45;32;42;1097;23.84
01/03/2023 04:46;32;42;990;31.89
01/03/2023 04:46;32;42;1000;33.41
01/03/2023 04:47;32;42;997;39.65
01/03/2023 04:47;32;42;997;26.17
01/03/2023 04:48;32;42;1000;36.37
01/03/2023 04:48;32;42;1997;25.43
01/03/2023 04:49;32;42;1097;49.88
